<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,D,19951127,000000,1.297,1.2995,1.2845,1.2888,0,0
EURUSD,D,19951128,000000,1.2895,1.2965,1.2866,1.292,0,0
EURUSD,D,19951129,000000,1.2935,1.296,1.2818,1.2854,0,0
EURUSD,D,19951130,000000,1.2855,1.2882,1.2715,1.275,0,0
EURUSD,D,19951201,000000,1.2755,1.2785,1.2712,1.2752,0,0
EURUSD,D,19951204,000000,1.2752,1.2828,1.275,1.2765,0,0
EURUSD,D,19951205,000000,1.277,1.2857,1.276,1.2846,0,0
EURUSD,D,19951206,000000,1.2872,1.2872,1.276,1.2775,0,0
EURUSD,D,19951207,000000,1.2755,1.2812,1.273,1.2735,0,0
EURUSD,D,19951208,000000,1.275,1.277,1.2675,1.2726,0,0
EURUSD,D,19951211,000000,1.2732,1.2771,1.2704,1.2716,0,0
EURUSD,D,19951212,000000,1.2719,1.2748,1.264,1.267,0,0
EURUSD,D,19951213,000000,1.2668,1.2674,1.2594,1.2629,0,0
EURUSD,D,19951214,000000,1.2631,1.2765,1.2603,1.273,0,0
EURUSD,D,19951215,000000,1.2729,1.2766,1.271,1.2725,0,0
EURUSD,D,19951218,000000,1.2756,1.2836,1.2742,1.2833,0,0
EURUSD,D,19951219,000000,1.2833,1.2833,1.272,1.2725,0,0
EURUSD,D,19951220,000000,1.2725,1.2761,1.2705,1.2761,0,0
EURUSD,D,19951221,000000,1.2779,1.2784,1.2724,1.276,0,0
EURUSD,D,19951222,000000,1.2764,1.2771,1.2693,1.2771,0,0
EURUSD,D,19951226,000000,1.274,1.2805,1.274,1.28,0,0
EURUSD,D,19951227,000000,1.28,1.2829,1.2742,1.2785,0,0
EURUSD,D,19951228,000000,1.2794,1.2858,1.2754,1.2763,0,0
EURUSD,D,19951229,000000,1.2763,1.285,1.2763,1.277,0,0
EURUSD,D,19960102,000000,1.2764,1.2847,1.2764,1.2792,0,0
EURUSD,D,19960103,000000,1.279,1.2822,1.2735,1.274,0,0
EURUSD,D,19960104,000000,1.2756,1.2795,1.2653,1.2795,0,0
EURUSD,D,19960105,000000,1.2793,1.2885,1.2748,1.2838,0,0
EURUSD,D,19960108,000000,1.28,1.2896,1.28,1.2856,0,0
EURUSD,D,19960109,000000,1.2837,1.2909,1.2837,1.2909,0,0
EURUSD,D,19960110,000000,1.2867,1.294,1.2867,1.2932,0,0
EURUSD,D,19960111,000000,1.2913,1.2966,1.2865,1.2885,0,0
EURUSD,D,19960112,000000,1.288,1.2894,1.2784,1.2811,0,0
EURUSD,D,19960115,000000,1.281,1.282,1.2758,1.2775,0,0
EURUSD,D,19960116,000000,1.2789,1.2789,1.2621,1.2621,0,0
EURUSD,D,19960117,000000,1.2603,1.2657,1.257,1.258,0,0
EURUSD,D,19960118,000000,1.2566,1.2634,1.2525,1.2538,0,0
EURUSD,D,19960119,000000,1.2545,1.255,1.2434,1.2456,0,0
EURUSD,D,19960122,000000,1.247,1.2496,1.2413,1.2465,0,0
EURUSD,D,19960123,000000,1.2473,1.2508,1.2405,1.2434,0,0
EURUSD,D,19960124,000000,1.2431,1.2438,1.2368,1.2384,0,0
EURUSD,D,19960125,000000,1.2396,1.2459,1.228,1.2324,0,0
EURUSD,D,19960126,000000,1.2306,1.233,1.224,1.225,0,0
EURUSD,D,19960129,000000,1.2252,1.2325,1.2238,1.2315,0,0
EURUSD,D,19960130,000000,1.233,1.2353,1.2275,1.2295,0,0
EURUSD,D,19960131,000000,1.2302,1.235,1.2294,1.2335,0,0
EURUSD,D,19960201,000000,1.2335,1.2383,1.23,1.2366,0,0
EURUSD,D,19960202,000000,1.2351,1.238,1.2315,1.2378,0,0
EURUSD,D,19960205,000000,1.2415,1.2525,1.2406,1.2495,0,0
EURUSD,D,19960206,000000,1.2495,1.25,1.2445,1.2475,0,0
EURUSD,D,19960207,000000,1.248,1.2482,1.2403,1.243,0,0
EURUSD,D,19960208,000000,1.243,1.2449,1.239,1.2435,0,0
EURUSD,D,19960209,000000,1.2435,1.2478,1.2401,1.244,0,0
