,time,low,high,open,close,volume
242,1608559200,22628.17,23225.0,22837.0,23191.13,1594.74943648
243,1608555600,22254.33,22864.89,22308.46,22837.0,1597.50438001
244,1608552000,21913.84,22659.99,22646.84,22308.45,2418.87388282
245,1608548400,22294.0,22829.26,22425.51,22646.11,1327.29372945
246,1608544800,22422.95,23486.02,23456.46,22425.51,2544.68240415
247,1608541200,23335.0,23733.84,23656.27,23460.28,851.50440381
248,1608537600,23637.7,24072.26,23974.83,23656.28,611.34058846
249,1608534000,23903.04,24035.23,23935.75,23974.83,592.10446901
250,1608530400,23709.15,23941.04,23924.57,23935.75,294.80238254
251,1608526800,23856.0,23987.41,23909.5,23913.91,378.14934847
252,1608523200,23814.59,24118.75,23958.28,23909.78,683.84205685
253,1608519600,23680.0,24047.08,23880.17,23958.28,1064.14919064
254,1608516000,23670.74,23911.59,23681.28,23881.58,912.10358018
255,1608512400,23612.09,23753.37,23696.77,23681.28,947.92159587
256,1608508800,23310.0,23725.07,23476.51,23697.25,960.55003108
257,1608505200,23459.99,23605.6,23525.68,23476.51,624.31728013
258,1608501600,23111.12,23633.96,23394.61,23525.68,1481.62094412
259,1608498000,23374.96,24210.0,24188.59,23384.92,1867.1139637
260,1608494400,23883.0,24300.0,23953.6,24190.45,1242.20159372
261,1608490800,23800.6,24018.47,23886.37,23955.14,750.81066896
262,1608487200,23678.62,23900.0,23747.19,23886.37,547.24714324
263,1608483600,23645.24,23827.14,23645.45,23747.31,476.39996202
264,1608480000,23645.24,23936.0,23893.2,23645.24,579.89398249
265,1608476400,23542.96,23930.0,23554.73,23894.93,543.40567384
266,1608472800,23518.79,23682.0,23575.33,23550.23,326.61921204
267,1608469200,23316.74,23601.01,23481.78,23576.72,402.17808337
268,1608465600,23352.46,23594.0,23558.91,23483.05,342.61757143
269,1608462000,23404.56,23618.11,23404.56,23563.94,248.05489026
270,1608458400,23377.64,23649.99,23603.88,23409.47,292.7241752
271,1608454800,23528.36,23758.09,23699.66,23602.77,340.75575086
272,1608451200,23562.55,23799.0,23648.84,23699.66,325.43232983
273,1608447600,23435.79,23662.1,23530.8,23648.45,224.509893
274,1608444000,23481.01,23636.85,23500.01,23530.8,307.22195616
275,1608440400,23421.76,23596.59,23460.62,23500.01,498.56944152
276,1608436800,23100.0,23483.0,23370.01,23460.22,581.88683811
277,1608433200,23218.53,23458.06,23458.06,23370.01,432.69362179
278,1608429600,23321.01,23559.41,23512.18,23458.05,459.85949918
279,1608426000,23411.23,23563.85,23514.75,23509.61,475.08015579
280,1608422400,23261.82,23852.01,23850.0,23514.75,1592.20324068
281,1608418800,23751.0,23943.02,23943.02,23849.99,595.56694979
282,1608415200,23858.22,24012.95,23994.59,23942.94,585.03470881
283,1608411600,23810.08,24090.0,23940.08,23994.59,1013.23050199
284,1608408000,23828.02,23953.11,23835.02,23940.07,834.93077005
285,1608404400,23700.0,23922.91,23865.81,23838.26,750.45147594
286,1608400800,23601.0,23950.56,23935.29,23866.82,1166.65159411
287,1608397200,23801.0,24156.31,24009.61,23937.4,1356.77408038
288,1608393600,23488.33,24200.0,23591.89,24009.61,3717.50988714
289,1608390000,23326.3,23684.0,23327.59,23591.89,1511.18783867
290,1608386400,23100.01,23660.74,23208.04,23328.01,2351.80404599
291,1608382800,23027.64,23210.0,23073.45,23208.04,464.98939767
292,1608379200,22914.07,23155.0,22914.07,23074.04,435.6772004
293,1608375600,22903.01,23084.72,23043.16,22914.23,432.69851005
294,1608372000,22973.19,23105.86,22997.35,23043.16,389.61521787
295,1608368400,22957.6,23062.05,23008.27,22997.35,406.83330372
296,1608364800,22770.0,23013.09,22882.83,23008.26,541.13861599
297,1608361200,22840.7,23068.45,22890.53,22882.83,435.23802608
298,1608357600,22869.69,23040.56,22989.49,22891.89,433.8943496
299,1608354000,22941.15,23102.57,23069.62,22989.49,442.72367546
